source,target,cluster
19995,23759,10
19995,10185,10
19995,31668,10
19995,13501,10
19995,172391,10
19995,262543,10
19995,20083,10
19995,137,10
19995,264999,10
19995,10998,10
19995,9396,10
19995,14435,10
19995,12227,10
19995,12158,10
19995,11586,10
19995,12403,10
19995,10368,10
19995,44092,10
19995,16005,10
19995,97370,10
19995,801,10
19995,54518,10
19995,9816,10
19995,11967,10
19995,332567,10
19995,1954,10
19995,22345,10
19995,9448,10
19995,38223,10
19995,11186,10
19995,5876,10
19995,264660,10
19995,492,10
19995,238603,10
19995,1251,10
19995,5172,10
19995,11592,10
19995,3682,10
19995,9683,10
19995,2084,10
19995,28211,10
19995,9950,10
19995,59678,10
19995,79777,10
19995,407887,10
19995,17043,10
19995,62204,10
19995,319,10
19995,6217,10
19995,43867,10
19995,14574,10
19995,16,10
19995,23631,10
19995,45324,10
19995,12144,10
19995,11658,10
19995,578,10
19995,126319,10
19995,154,10
19995,3049,10
19995,860,10
19995,9281,10
19995,75674,10
19995,9762,10
19995,3179,10
19995,184,10
19995,13335,10
19995,76726,10
19995,10269,10
19995,36819,10
19995,17130,10
19995,13812,10
19995,10437,10
19995,16241,10
19995,14191,10
19995,286565,10
19995,9059,10
19995,11027,10
19995,387,10
19995,122906,10
19995,9550,10
19995,227719,10
19995,10944,10
19995,1255,10
19995,10212,10
19995,844,10
19995,8060,10
19995,15907,10
19995,41508,10
19995,10133,10
19995,50601,10
19995,8913,10
19995,927,10
19995,907,10
19995,206563,10
19995,11887,10
19995,12094,10
19995,10748,10
19995,796,10
19995,3175,10
19995,766,10
19995,11065,10
19995,13888,10
19995,13994,10
19995,11917,10
19995,45138,10
19995,190847,10
19995,62,10
19995,601,10
19995,25379,10
19995,304410,10
19995,214,10
19995,316727,10
19995,663,10
19995,9289,10
19995,1648,10
19995,17917,10
19995,19405,10
19995,10163,10
19995,12182,10
19995,1832,10
19995,15301,10
19995,11336,10
19995,22824,10
19995,8359,10
19995,15648,10
19995,9362,10
19995,14729,10
19995,9455,10
19995,10090,10
19995,164558,10
19995,9515,10
19995,328425,10
19995,14120,10
19995,10029,10
19995,11507,10
19995,88005,10
19995,14283,10
19995,13201,10
19995,73247,10
19995,9952,10
19995,256924,10
19995,134371,10
19995,10388,10
19995,47890,10
19995,252512,10
19995,29076,10
19995,14195,10
19995,13191,10
19995,10034,10
19995,5072,10
19995,184374,10
19995,268171,10
19995,12245,10
19995,7006,10
19995,66767,10
19995,283671,10
19995,217708,10
19995,17577,10
19995,14608,10
19995,15067,10
19995,43090,10
19995,11576,10
19995,11827,10
19995,22820,10
19995,244316,10
19995,62215,10
19995,66125,10
19995,348,10
19995,68684,10
19995,9400,10
19995,10472,10
19995,11282,10
19995,10705,10
19995,14624,10
19995,10179,10
19995,67675,10
19995,27329,10
19995,15699,10
19995,8883,10
19995,9671,10
19995,11588,10
19995,333355,10
19995,327833,10
19995,71805,10
19995,150202,10
19995,19644,10
19995,152747,10
19995,14353,10
19995,11818,10
19995,15121,10
19995,2619,10
19995,170,10
19995,28121,10
19995,11596,10
19995,14429,10
19995,1359,10
19995,10873,10
19995,291270,10
19995,1958,10
19995,26618,10
19995,46138,10
19995,26963,10
19995,153397,10
19995,10288,10
19995,12192,10
19995,13197,10
19995,10913,10
19995,149,10
19995,10425,10
19995,33542,10
19995,2577,10
19995,14165,10
19995,2011,10
19995,45650,10
19995,25941,10
19995,17908,10
19995,8068,10
19995,10803,10
19995,10117,10
19995,9392,10
19995,1696,10
19995,308639,10
19995,11342,10
19995,57825,10
19995,9555,10
19995,13006,10
19995,16651,10
19995,25388,10
19995,11687,10
19995,1956,10
19995,27004,10
19995,8879,10
19995,13001,10
19995,13649,10
19995,46738,10
19995,41009,10
19995,7347,10
19995,38415,10
19995,34723,10
19995,9430,10
19995,10514,10
19995,26665,10
19995,621,10
19995,792,10
19995,642,10
19995,433,10
19995,1725,10
19995,629,10
19995,1103,10
19995,10622,10
19995,10215,10
19995,25066,10
19995,80304,10
19995,67913,10
19995,20794,10
19995,576,10
19995,11583,10
19995,27549,10
19995,837,10
19995,3482,10
19995,14351,10
19995,979,10
19995,51995,10
19995,22908,10
19995,84204,10
19995,16633,10
19995,63006,10
19995,333371,10
19995,9012,10
19995,11284,10
19995,173,10
19995,77,10
19995,24266,10
19995,16508,10
19995,26748,10
19995,14854,10
19995,50357,10
19995,16441,10
19995,29996,10
19995,22649,10
19995,20455,10
19995,10786,10
19995,12484,10
19995,17339,10
19995,17431,10
19995,3028,10
19995,16148,10
19995,245916,10
19995,1415,10
19995,313922,10
19995,199933,10
19995,38428,10
19995,56930,10
19995,71547,10
19995,57876,10
19995,13849,10
19995,14849,10
19995,12486,10
19995,244403,10
19995,292481,10
19995,299552,10
19995,11935,10
19995,290825,10
19995,361159,10
19995,10914,10
19995,5689,10
19995,10339,10
19995,9303,10
19995,27686,10
19995,65749,10
19995,141,10
19995,17139,10
19995,68818,10
19995,36419,10
19995,375290,10
19995,116613,10
19995,34069,10
19995,10947,10
19995,47452,10
19995,3040,10
19995,11386,10
19995,27191,10
19995,987,10
19995,8337,10
19995,5925,10
19995,512,10
19995,47816,10
19995,11536,10
19995,6537,10
19995,5,10
19995,16448,10
19995,8141,10
19995,48572,10
19995,14517,10
19995,89708,10
19995,27551,10
19995,14293,10
19995,48309,10
19995,20468,10
19995,52015,10
19995,81390,10
19995,10981,10
19995,14902,10
19995,22301,10
19995,251979,10
19995,770,10
19995,29715,10
19995,25209,10
19995,34769,10
19995,35032,10
19995,352978,10
19995,9516,10
19995,23330,10
19995,26268,10
19995,310131,10
19995,25376,10
19995,765,10
19995,205321,10
19995,89540,10
19995,46146,10
19995,370464,10
19995,224569,10
19995,39303,10
19995,142061,10
19995,252360,10
19995,241766,10
19995,1667,10
19995,13551,10
19995,11564,10
19995,805,10
19995,55347,10
19995,10070,10
19995,125490,10
19995,1585,10
19995,158015,10
19995,82507,10
19995,1685,10
19995,20737,10
19995,10991,10
19995,34086,10
19995,5854,10
19995,10285,10
19995,5780,10
19995,292,10
19995,223485,10
19995,15582,10
19995,15158,10
19995,7509,10
19995,252,10
19995,24126,10
19995,670,10
19995,35691,10
19995,49010,10
19995,11229,10
19995,34099,10
19995,70006,10
19995,260947,10
19995,10226,10
19995,356483,10
19995,13025,10
19995,17264,10
19995,15875,10
19995,43306,10
19995,11072,10
19995,14139,10
19995,872,10
19995,10676,10
19995,24748,10
19995,181330,10
19995,84329,10
19995,13007,10
19995,13518,10
19995,20764,10
19995,45132,10
19995,7512,10
19995,78373,10
19995,17820,10
19995,19933,10
19995,756,10
19995,31163,10
19995,16205,10
19995,28165,10
19995,11561,10
19995,8810,10
19995,55604,10
