,budget,genres,id,popularity,release_date,revenue,title,vote_average,vote_count,profit,release_year,cluster
162,135000000,Action,10048,17.88953,28-07-2005,76932943,Stealth,4.9,331,-58067057,2005,3
163,130000000,Action,13183,64.798873,05-03-2009,185258983,Watchmen,7,2811,55258983,2009,3
164,140000000,Action,944,24.855701,10-07-1998,285444603,Lethal Weapon 4,6.3,767,145444603,1998,3
165,137000000,Drama,1927,34.981698,19-06-2003,245360480,Hulk,5.3,1533,108360480,2003,1
166,130000000,Adventure,72559,59.325589,26-03-2013,371876278,G.I. Joe: Retaliation,5.4,3025,241876278,2013,4
167,130000000,Action,7364,21.605568,06-04-2005,119269486,Sahara,5.7,434,-10730514,2005,3
168,137000000,Adventure,2114,26.074908,02-07-2001,85131830,Final Fantasy: The Spirits Within,5.9,433,-51868170,2001,4
169,140000000,Action,1771,74.506246,22-07-2011,370569774,Captain America: The First Avenger,6.6,7047,230569774,2011,3
170,135000000,Adventure,36643,39.604363,08-11-1999,361832400,The World Is Not Enough,6,862,226832400,1999,4
171,150000000,Adventure,8619,36.973031,14-11-2003,212011111,Master and Commander: The Far Side of the World,6.9,790,62011111,2003,4
172,120000000,Adventure,50620,99.687084,13-11-2012,829000000,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,709000000,2012,4
173,130000000,Animation,65759,17.7735,17-11-2011,150406466,Happy Feet Two,5.8,373,20406466,2011,8
174,150000000,Science Fiction,1724,62.898336,12-06-2008,163712074,The Incredible Hulk,6.1,3021,13712074,2008,11
175,140000000,Adventure,267935,44.19092,01-06-2016,183345589,The BFG,6,1000,43345589,2016,4
176,135000000,Western,281957,100.635882,25-12-2015,532950503,The Revenant,7.3,6396,397950503,2015,17
177,135000000,Animation,77950,44.765377,11-07-2013,282570682,Turbo,6.1,1074,147570682,2013,8
178,135000000,Animation,44896,29.91353,02-03-2011,245724603,Rango,6.6,2051,110724603,2011,8
179,132000000,Family,270946,84.366984,22-11-2014,373552094,Penguins of Madagascar,6.5,1346,241552094,2014,13
180,70000000,Action,2503,45.381501,03-08-2007,442824138,The Bourne Ultimatum,7.3,2888,372824138,2007,3
181,130000000,Adventure,9502,84.689648,04-06-2008,631744560,Kung Fu Panda,6.9,3145,501744560,2008,4
182,130000000,Science Fiction,102899,120.09361,14-07-2015,519311965,Ant-Man,7,5880,389311965,2015,11
183,130000000,Adventure,101299,76.310119,15-11-2013,847423452,The Hunger Games: Catching Fire,7.4,6495,717423452,2013,4
